id,name,display_name,symbol,sector,created_at,updated_at
75397,Precision Fastners Ltd.,Precision Fastners Ltd.,,industrial_equipment,2021-07-28 20:29:36 +0530,2021-07-28 20:29:36 +0530
75415,Johnson & Johnson Ltd.,Johnson & Johnson Ltd.,,healthcare,2021-07-28 20:29:38 +0530,2021-07-28 20:29:38 +0530
75443,Angel Broking Ltd. (Amalgamated),Angel Broking Ltd. (Amalgamated),,finance,2021-07-28 20:29:40 +0530,2021-07-28 20:29:40 +0530
75455,Delta Air Lines Pvt Ltd.,Delta Air Lines Pvt Ltd.,,travel_lodging,2021-07-28 20:29:42 +0530,2021-07-28 20:29:42 +0530
75456,Globsyn Technologies Limited,Globsyn Technologies Limited,,education,2021-07-28 20:29:42 +0530,2021-07-28 20:29:42 +0530
75466,Infrastructure Leasing & Financial Services Ltd.,Infrastructure Leasing & Financial Services Ltd.,,finance,2021-07-28 20:29:45 +0530,2021-07-28 20:29:45 +0530
75472,Punjab Wireless Systems Limited,Punjab Wireless Systems Limited,,,2021-07-28 20:29:46 +0530,2021-07-28 20:29:46 +0530
75473,Royal Industries Limited,Royal Industries Limited,,textile,2021-07-28 20:29:46 +0530,2021-07-28 20:29:46 +0530
75479,DominoS Pizza Services Private Limited,DominoS Pizza Services Private Limited,,consumer_staples,2021-07-28 20:29:48 +0530,2021-07-28 20:29:48 +0530
75489,Toronto-Dominion Bank,Toronto-Dominion Bank,,finance,2021-07-28 20:29:50 +0530,2021-07-28 20:29:50 +0530
75495,SIP Technologies & Exports Ltd,SIP Technologies & Exports Ltd,,other,2021-07-28 20:29:50 +0530,2021-07-28 20:29:50 +0530
75496,Quantum Information Services,Quantum Information Services,,other,2021-07-28 20:29:50 +0530,2021-07-28 20:29:50 +0530
75497,City Online Services Ltd.,City Online Services Ltd.,,other,2021-07-28 20:29:50 +0530,2021-07-28 20:29:50 +0530
75498,Magnasound (India) Ltd.,Magnasound (India) Ltd.,,other,2021-07-28 20:29:51 +0530,2021-07-28 20:29:51 +0530
75500,Deldot Systems Ltd,Deldot Systems Ltd,,,2021-07-28 20:29:51 +0530,2021-07-28 20:29:51 +0530
75503,Aruna Mills Company Ltd,Aruna Mills Company Ltd,,textile,2021-07-28 20:29:51 +0530,2021-07-28 20:29:51 +0530
